,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5916.526576723685,4182.815146854036,6279.416018820992,5916.526576723685,5916.526576723685,-675.5039161466934,-675.5039161466934,-675.5039161466934,-720.3280732760745,-720.3280732760745,-720.3280732760745,44.82415712938111,44.82415712938111,44.82415712938111,0.0,0.0,0.0,5241.022660576991
785,2015-08-02,5917.294958490295,4649.9420962337235,6808.918519362862,5917.294958490295,5917.294958490295,-165.6483945624822,-165.6483945624822,-165.6483945624822,-190.33087548246553,-190.33087548246553,-190.33087548246553,24.68248091998334,24.68248091998334,24.68248091998334,0.0,0.0,0.0,5751.646563927813
786,2015-08-03,5918.063340256905,5897.479559814294,7901.157521718762,5918.063340256905,5918.063340256905,1014.627619897939,1014.627619897939,1014.627619897939,1011.8464337154098,1011.8464337154098,1011.8464337154098,2.7811861825292117,2.7811861825292117,2.7811861825292117,0.0,0.0,0.0,6932.690960154843
787,2015-08-04,5918.831722023514,5083.686002379806,7211.346775219412,5918.831722023514,5918.831722023514,201.93223186822055,201.93223186822055,201.93223186822055,222.45453395757056,222.45453395757056,222.45453395757056,-20.522302089350006,-20.522302089350006,-20.522302089350006,0.0,0.0,0.0,6120.763953891735
788,2015-08-05,5919.600103790122,4517.050185833227,6737.845155922844,5919.600103790122,5919.600103790122,-249.18912563924673,-249.18912563924673,-249.18912563924673,-204.3154149294309,-204.3154149294309,-204.3154149294309,-44.87371070981584,-44.87371070981584,-44.87371070981584,0.0,0.0,0.0,5670.410978150876
789,2015-08-06,5920.368485556732,4583.955747021599,6689.949863055817,5920.368485556732,5920.368485556732,-254.12847624407738,-254.12847624407738,-254.12847624407738,-184.19783339970934,-184.19783339970934,-184.19783339970934,-69.93064284436802,-69.93064284436802,-69.93064284436802,0.0,0.0,0.0,5666.240009312654
790,2015-08-07,5921.136867323341,4908.876368934464,6873.770153659142,5921.136867323341,5921.136936580201,-30.499153354947524,-30.499153354947524,-30.499153354947524,64.87122941493028,64.87122941493028,64.87122941493028,-95.3703827698778,-95.3703827698778,-95.3703827698778,0.0,0.0,0.0,5890.637713968394
791,2015-08-08,5921.905249089951,4003.3394704215334,6190.880326470521,5921.905249089951,5921.906103692033,-841.2246480621209,-841.2246480621209,-841.2246480621209,-720.3280732759747,-720.3280732759747,-720.3280732759747,-120.8965747861462,-120.8965747861462,-120.8965747861462,0.0,0.0,0.0,5080.680601027831
792,2015-08-09,5922.6736308565605,4489.237465670384,6661.961572460537,5922.673210398121,5922.675510070576,-336.575485776183,-336.575485776183,-336.575485776183,-190.33087548185313,-190.33087548185313,-190.33087548185313,-146.24461029432985,-146.24461029432985,-146.24461029432985,0.0,0.0,0.0,5586.098145080377
793,2015-08-10,5923.442012623169,5672.234064525567,7843.489889179267,5923.440552320452,5923.445969801172,840.6608320610471,840.6608320610471,840.6608320610471,1011.846433714175,1011.846433714175,1011.846433714175,-171.18560165312783,-171.18560165312783,-171.18560165312783,0.0,0.0,0.0,6764.102844684216
